,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,100.02,1.0,87.94,3.25,26.797438164911437,0.009786770789232714,0.0003593666850457175,2.322108977786202e-09,1.9881677589159315e-09,-19.880790022047556,-21.820056129846527,-19.262263726840466
1,100.02,2.0,137.11,3.75,26.797438164911437,0.025046451225088036,0.00041414826445378773,6.442868571831046e-09,2.82919097567388e-10,-18.860291965596275,-18.905197261664547,-18.817316792756067
2,70.02,1.33,8.4,0.99,29.140076347000033,0.02598155447836167,0.00010954937344768324,8.695141624386959e-10,1.0531364965915926e-10,-20.863086494240758,-20.992190909914225,-20.748760263503403
3,70.02,2.67,15.77,1.38,29.140076347000033,0.027737237138935195,0.00015272115000138184,8.560131047136783e-10,7.871171108080016e-11,-20.87873543065904,-20.975192946778918,-20.79076894461723
4,70.02,4.0,20.23,1.29,29.140076347000033,0.029990600600025615,0.00014367965630874424,7.876561991987104e-10,5.446513175350918e-11,-20.96195941670832,-21.03361478300884,-20.89509701354934
5,90.0,2.0,44.79,2.2,27.53683051080821,0.034974779593205975,0.00024380981927831345,3.925030127603186e-09,2.1872367177027728e-10,-19.35589180991903,-19.413230020696055,-19.301663745102257
6,90.02,3.0,63.33,2.31,27.535314040256633,0.04202350349498582,0.00025729008241477376,4.385152928984852e-09,1.8799717547831768e-10,-19.245041336249248,-19.288858742607694,-19.203063568741147
7,99.99,3.0,117.12,4.54,26.79959264619178,0.055059318764925105,0.0004979011471792428,1.0225050016873014e-08,4.6222516492005985e-10,-18.398425243403786,-18.444684046846085,-18.354212038526484
8,99.99,3.0,125.1,2.89,26.79959264619178,0.06898176772066048,0.0003197925171492118,1.3954619823642873e-08,3.9783749855843535e-10,-18.087455213350157,-18.11637887425272,-18.059344667435766
9,120.02,1.0,141.04,3.72,25.434290510466212,0.0846776019416003,0.0004088535997712776,5.846906307926696e-08,1.7862526072130864e-09,-16.654768058843658,-16.6857948384546,-16.624675041305938
10,120.01,2.0,231.69,3.9,25.434937430053925,0.11046333418859963,0.00042699936702464024,6.613609766110191e-08,1.4067564520693405e-09,-16.5315511323263,-16.553051241962294,-16.510503564765592
11,120.01,3.0,262.03,5.3,25.434937430053925,0.1396220729933382,0.0005837504150829918,6.547138847519758e-08,1.561390682581609e-09,-16.541652606910173,-16.565790027823166,-16.518084096034
12,140.02,1.0,245.52,4.69,24.20311252027011,0.16694716634548676,0.0005138405922748156,2.314329837028321e-07,5.072073060991692e-09,-15.278975492574428,-15.301135161699793,-15.257296247577791
13,139.99,2.0,372.53,4.62,24.204870019847995,0.20841201572953438,0.0005130410883048962,2.221391370672707e-07,3.4373616709953514e-09,-15.31996190784958,-15.33555679134385,-15.304606495008272
14,139.96,3.0,378.38,5.01,24.20662777468471,0.2505282361153822,0.0005535280669131511,1.916203789065539e-07,3.0102768552683533e-09,-15.467749615340429,-15.483583904813091,-15.452162147423483
15,160.01,1.0,311.03,5.21,23.086157539939055,0.28514296930069494,0.0005729917719235656,5.737216032813452e-07,1.0617734496076632e-08,-14.37112156998804,-14.389801734197508,-14.352783965028873
16,160.01,2.0,443.48,6.0,23.086157539939055,0.33450251678268145,0.0006522751957805523,4.955987127444482e-07,7.523625998156552e-09,-14.517499284562739,-14.532796576646081,-14.502432478243264
17,160.01,3.0,437.93,5.52,23.086157539939055,0.38324633761165877,0.0006060084811098359,4.0014379954451306e-07,5.677200582935756e-09,-14.731441855581378,-14.745731367008977,-14.717353660949252
