step,T (C),t (min),,uncertainty,,,,
1,450,0.3,7.9338E+09,3.1644E+08,,,,
2,450,0.366666667,3.6683E+09,1.9103E+08,,,,
3,500,0.25,1.2983E+10,1.5251E+08,,,,
4,500,0.366666667,1.0648E+10,2.1192E+08,,,,
5,550,0.316666667,3.2210E+10,1.5799E+08,,,,
6,550,0.366666667,1.8120E+10,2.1421E+08,,,,
7,600,0.25,4.0012E+10,1.9495E+08,,,,
8,600,0.266666667,2.6801E+10,2.5384E+08,,,,
9,650,0.266666667,6.9907E+10,2.6335E+08,,,,
10,650,0.366666667,4.7651E+10,1.9045E+08,,,,
11,700,0.316666667,9.9241E+10,2.1995E+08,,,,
12,700,0.383333333,4.7651E+10,1.9045E+08,,,,
13,750,0.333333333,7.6150E+10,2.0279E+08,,,,
14,750,0.366666667,4.7507E+10,1.8284E+08,,,,
15,800,0.3,6.6463E+10,1.4705E+08,,,,
16,800,0.333333333,3.6964E+10,1.6545E+08,,,,
17,825,0.25,3.1725E+10,1.3668E+08,,,,
18,850,0.266666667,3.9605E+10,1.4390E+08,,,,
19,875,0.25,4.3581E+10,1.2527E+08,,,,
20,900,0.25,4.8231E+10,1.1091E+08,,,,
21,925,0.25,5.6127E+10,1.3877E+08,,,,
22,950,0.25,6.4549E+10,1.1500E+08,,,,
23,975,0.25,8.3620E+10,1.2693E+08,,,,
24,1000,0.25,1.0014E+11,1.1943E+08,,,,
25,1025,0.25,1.2332E+11,2.1732E+08,,,,
26,1050,0.25,1.4496E+11,1.3453E+08,,,,
27,1075,0.25,1.6009E+11,2.2451E+08,,,,
28,1100,0.25,1.4132E+11,2.1906E+08,,,,
29,1100,0.5,1.4519E+11,2.3500E+08,,,,
30,1100,1,1.5074E+11,1.5423E+08,,,,
31,1100,2.016666667,1.6876E+11,3.6361E+08,,,,
32,1100,3.116666667,2.5388E+11,6.8589E+08,,,,
33,1100,8.85,2.1849E+11,3.3608E+08,,,,
34,1150,0.266666667,1.9454E+10,6.4731E+07,,,,
35,1175,0.25,4.6041E+10,9.4748E+07,,,,
36,1200,0.25,8.1510E+10,1.4279E+08,,,,
37,1225,0.983333333,2.2649E+11,2.5154E+08,,,,
38,1250,0.583333333,7.8185E+10,1.6776E+08,,,,
39,1275,0.266666667,1.4612E+10,8.4072E+07,,,,
40,1300,0.3,1.2619E+10,1.0037E+08,,,,
41,1550,0.25,4.0004E+10,3.5929E+08,,,,
42,1550,0.25,2.0343E+09,3.7954E+08,,,,
