TC,t_hour
25,1
100,0.333333333
100,0.333333333
100,0.333333333
50,2
50,2
50,2
60,1.833333333
25,1
60,1.833333333
60,1.833333333
70,1.5
70,1.5
70,1.5
80,1.5
80,1.5
25,1
80,1.5
90,0.666666667
90,0.666666667
90,0.666666667
100,0.5
120,0.333333333
120,0.333333333
120,0.333333333
25,1
25,1
140,0.333333333
140,0.333333333
140,0.333333333
160,0.25
160,0.25
160,0.25
180,0.25
25,1
180,0.25
180,0.25
200,0.25
200,0.25
200,0.25
220,0.25
220,0.25
25,1
220,0.25
120,1
120,1.5
140,3
140,3
180,2.5
180,2.5
200,0.5
200,0.5
25,1
220,0.5
240,0.5
240,0.5
240,0.5
260,0.5
260,0.5
260,0.5
280,0.5
25,1
280,0.5
280,0.5
300,0.5
300,0.5
300,0.5
300,0.5
300,0.5
300,0.5
25,1
350,1
350,1
350,1
400,1
400,1
400,1
450,1
25,1
450,1
450,1
500,1
500,1
500,1
900,0.5
900,0.5
1000,0.5
1000,0.5
700,0.5
700,0.5
550,0.5
25,1
